col1,col2,col3,col4
Armidale Australia,Tamworth Australia,94.26032719377511,113 km
Camden Australia,Penrith Australia,30.447251604209242,40.8 km
Charters Towers Australia,Townsville Australia,98.95271809841569,136 km
Kempsey Australia,Port Macquarie Australia,37.6437444461234,49.6 km
Loxton Australia,Murray Bridge Australia,146.91208509654342,178 km
Gundagai Australia,Tumut Australia,29.45587356569955,36.8 km
Kalgoorlie Australia,Kambalda Australia,49.33955486017163,59.4 km
Tenterfield Australia,Stanthorpe Australia,40.584736993545995,57.2 km
Leigh Creek Australia,Port Augusta Australia,199.9682039727915,261 km
Gunnedah Australia,Narrabri Australia,80.19189388902747,97.7 km
Griffith Australia,Narrandera Australia,68.69988318273059,87.9 km
Albury-Wodonga Australia,Wagga Wagga Australia,114.69975197254179,141 km
Goulburn Australia,Queanbeyan Australia,78.29624361084538,94.5 km
Mackay Australia,Moranbah Australia,141.56197242553523,195 km
Renmark Australia,Mildura Australia,138.0680368925557,137 km
Buderim Australia,Gympie Australia,63.37316334677961,80.0 km
Queanbeyan Australia,Kingston Australia,9.448232492505518,10.4 km
Blackwater Australia,Moura Australia,147.65346425899045,233 km
Batemans Bay Australia,Moruya Australia,21.14945893208833,26.5 km
Buderim Australia,Maroochydore Australia,5.860034129593216,8.4 km
Mount Gambier Australia,Portland Australia,98.08736762933367,108 km
Newman Australia,Tom Price Australia,215.29447564687962,368 km
Ingham Australia,Innisfail Australia,113.47139815151996,148 km
Fremantle Australia,Kwinana Australia,17.556108502062838,24.0 km
Moonie Australia,Roma Australia,195.781177355905,295 km
Forster Australia,Taree Australia,29.872788277390388,37.6 km
Mount Morgan Australia,Rockhampton Australia,28.783034821939278,40.2 km
Orange Australia,Wellington Australia,74.66620467073778,94.6 km
Bunbury Australia,Busselton Australia,44.28289998393187,53.5 km
Cootamundra Australia,Junee Australia,49.75067096884145,53.3 km
Morwell Australia,Traralgon Australia,10.792387370965878,12.6 km
Bowen Australia,Mackay Australia,148.85283811310399,191 km
Grafton Australia,Lismore Australia,94.17010617167286,132 km
Bunbury Australia,Mandurah Australia,79.17612467942206,103 km
Byron Bay Australia,Murwillumbah Australia,38.38652411772319,53.7 km
Blackwater Australia,Emerald Australia,71.9955363809903,75.9 km
Port Pirie Australia,Whyalla Australia,45.34473782891143,168 km
Balranald Australia,Swan Hill Australia,70.29843168994574,99.1 km
Iron Knob Australia,Port Lincoln Australia,236.85585403725295,301 km
Deniliquin Australia,Hay Australia,103.37495026282959,125 km
Bacchus Marsh Australia,Werribee Australia,31.207485888735498,37.4 km
Derby Australia,Wyndham Australia,484.5378826830458,880 km
Colac Australia,Geelong Australia,79.94331739684061,75.4 km
Camden Australia,Campbelltown Australia,11.880389173760642,13.2 km
Launceston Australia,New Norfolk Australia,135.22670920214784,198 km
Toowoomba Australia,Warwick Australia,66.04700702481048,84.7 km
Darwin Australia,Katherine Australia,244.70258772522618,317 km
Bell Bay Australia,Launceston Australia,41.42287314319932,48.8 km
Sydney Australia,Rosebery Australia,5.501703429247676,11.8 km
Clare Australia,Gawler Australia,76.89892297489519,92.5 km
Glen Innes Australia,Inverell Australia,62.60027434190734,70.1 km
Bowral Australia,Nowra-Bomaderry Australia,44.323106241778476,62.9 km
Coolgardie Australia,Narrogin Australia,445.95318719238986,527 km
Bundaberg Australia,Gladstone Australia,150.46741989313836,187 km
Caboolture Australia,Deception Bay Australia,14.90706022158622,22.3 km
Coffs Harbour Australia,Grafton Australia,64.14648574138818,85.7 km
Katoomba Australia,Penrith Australia,38.9863705846035,49.2 km
Kiama Australia,Wollongong Australia,25.07820686133838,41.5 km
Coonabarabran Australia,Gunnedah Australia,105.5919946002694,113 km
Bathurst Australia,Lithgow Australia,58.29799037252658,62.6 km
Katanning Australia,Narrogin Australia,84.78259564215523,104 km
Bourke Australia,Cobar Australia,140.76864336614904,160 km
Cooktown Australia,Weipa Australia,442.1534298248059,651 km
Anthony Lagoon Australia,Katherine Australia,479.0217383480298,711 km
Beaconsfield Australia,Healesville Australia,41.80658233364621,58.6 km
Bowral Australia,Goulburn Australia,74.07812394080531,78.4 km
Devonport Australia,Ulverstone Australia,15.811648673760867,19.1 km
Geelong Australia,Werribee Australia,39.22156313733174,42.8 km
Forbes Australia,Parkes Australia,29.509407011895345,33.1 km
Fremantle Australia,Perth Australia,14.614533305080768,22.1 km
