	accuracy	formatted_address	google_place_id	input_string	latitude	longitude	number_of_results	postcode	status	type
0	APPROXIMATE	"Canberra ACT 2601, Australia"	ChIJIZBcsGlNFmsRYFZpp27qAAU	Canberra Australia	-35.2809368	149.1300092	1	2601	OK	"locality,political"
2	APPROXIMATE	"Armidale NSW 2350, Australia"	ChIJfVxG3dufn2sRwClEkLQJBgU	Armidale Australia	-30.5015616	151.6661993	1	2350	OK	"locality,political"
3	APPROXIMATE	"Ballina NSW 2478, Australia"	ChIJ1QP0rGCAkGsRwCtEkLQJBgU	Ballina Australia	-28.8379654	153.5629067	1	2478	OK	"locality,political"
4	APPROXIMATE	"Balranald NSW 2715, Australia"	ChIJDfeYaVR63WoRUAJEkLQJBgQ	Balranald Australia	-34.6367064	143.5615815	1	2715	OK	"locality,political"
5	APPROXIMATE	"Batemans Bay NSW 2536, Australia"	ChIJeTNw8izAFWsRYChEkLQJBgU	Batemans Bay Australia	-35.7143871	150.1794707	1	2536	OK	"locality,political"
6	APPROXIMATE	"Bathurst NSW 2795, Australia"	ChIJ73m0BjPkEWsRYCJEkLQJBgU	Bathurst Australia	-33.4192822	149.5775008	1	2795	OK	"locality,political"
7	APPROXIMATE	"Bega NSW 2550, Australia"	ChIJ5-2pN4kpPGsRMAZEkLQJBgQ	Bega Australia	-36.6889097	149.8416404	1	2550	OK	"locality,political"
8	APPROXIMATE	"Bourke NSW 2840, Australia"	ChIJVZAC1B1nAGsR4ANEkLQJBgQ	Bourke Australia	-30.090661	145.9381941	1	2840	OK	"locality,political"
9	APPROXIMATE	"Bowral NSW 2576, Australia"	ChIJz78vQJiiE2sRkCREkLQJBgU	Bowral Australia	-34.479167	150.418056	1	2576	OK	"locality,political"
10	APPROXIMATE	"Broken Hill NSW 2880, Australia"	ChIJzcJS3mAz72oRcAFEkLQJBgQ	Broken Hill Australia	-31.9539135	141.4539396	1	2880	OK	"locality,political"
11	APPROXIMATE	"Byron Bay NSW 2481, Australia"	ChIJK3Y-LYVikGsR0PJDkLQJBgQ	Byron Bay Australia	-28.6473671	153.601977	1	2481	OK	"locality,political"
12	APPROXIMATE	"Camden NSW 2570, Australia"	ChIJFUk7_ADxEmsRMDwzFmh9AQU	Camden Australia	-34.054444	150.695833	1	2570	OK	"locality,political"
13	APPROXIMATE	"Campbelltown NSW 2560, Australia"	ChIJf40DlVHuEmsRQK8yFmh9AQU	Campbelltown Australia	-34.065	150.814167	1	2560	OK	"locality,political"
14	APPROXIMATE	"Cobar NSW 2835, Australia"	ChIJXWBY03FcAmsRIAREkLQJBgQ	Cobar Australia	-31.4949304	145.8401709	1	2835	OK	"locality,political"
15	APPROXIMATE	"Coffs Harbour NSW 2450, Australia"	ChIJHaTYiwkOnGsREC1EkLQJBgU	Coffs Harbour Australia	-30.298612	153.1093922	1	2450	OK	"locality,political"
16	APPROXIMATE	"Cooma NSW 2630, Australia"	ChIJiTtT7JauPWsRwNxDkLQJBgQ	Cooma Australia	-36.2268655	149.1297882	1	2630	OK	"locality,political"
17	APPROXIMATE	"Coonabarabran NSW 2357, Australia"	ChIJ1Q7_QOUGCWsR0HhDkLQJBgQ	Coonabarabran Australia	-31.2733434	149.219061	1	2357	OK	"locality,political"
18	APPROXIMATE	"Coonamble NSW 2829, Australia"	ChIJVfbbONF2CGsRoHFDkLQJBgQ	Coonamble Australia	-30.9496074	148.3810811	1	2829	OK	"locality,political"
19	APPROXIMATE	"Cootamundra NSW 2590, Australia"	ChIJY0E0RFG2GWsRkOdDkLQJBgQ	Cootamundra Australia	-34.641667	148.025	1	2590	OK	"locality,political"
20	APPROXIMATE	"Corowa NSW 2646, Australia"	ChIJKeO-a4kvIWsR0MlDkLQJBgQ	Corowa Australia	-35.983333	146.383333	1	2646	OK	"locality,political"
21	APPROXIMATE	"Cowra NSW 2794, Australia"	ChIJTThXQVeREGsR4HhDkLQJBgQ	Cowra Australia	-33.8281444	148.6778504	1	2794	OK	"locality,political"
22	APPROXIMATE	"Deniliquin NSW 2710, Australia"	ChIJrdjFh9ku32oRcMpDkLQJBgQ	Deniliquin Australia	-35.5282408	144.9565781	1	2710	OK	"locality,political"
23	APPROXIMATE	"Dubbo NSW 2830, Australia"	ChIJO5GkTLBxD2sRMCVEkLQJBgU	Dubbo Australia	-32.2315018	148.6329645	1	2830	OK	"locality,political"
24	APPROXIMATE	"Forbes NSW 2871, Australia"	ChIJb4IvPOSMGmsR0HlDkLQJBgQ	Forbes Australia	-33.379879	148.0066888	1	2871	OK	"locality,political"
25	APPROXIMATE	"Forster NSW 2428, Australia"	ChIJmZN-nuA5dGsRcKFDkLQJBgQ	Forster Australia	-32.180556	152.511667	1	2428	OK	"locality,political"
26	APPROXIMATE	"Glen Innes NSW 2370, Australia"	ChIJs0FxVTC2mGsRkLBDkLQJBgQ	Glen Innes Australia	-29.7518376	151.7361891	1	2370	OK	"locality,political"
27	APPROXIMATE	"Gosford NSW 2250, Australia"	ChIJcQ2a1GbMcmsRoNkyFmh9AQU	Gosford Australia	-33.426667	151.341667	1	2250	OK	"locality,political"
28	APPROXIMATE	"Goulburn NSW 2580, Australia"	ChIJLagf6equFmsR0CdEkLQJBgU	Goulburn Australia	-34.7479181	149.7277447	1	2580	OK	"locality,political"
29	APPROXIMATE	"Grafton NSW 2460, Australia"	ChIJGURk4vnbm2sRoCxEkLQJBgU	Grafton Australia	-29.6816894	152.9336547	1	2460	OK	"locality,political"
30	APPROXIMATE	"Griffith NSW 2680, Australia"	ChIJHeK38guuH2sRACVEkLQJBgU	Griffith Australia	-34.2800883	146.0455313	1	2680	OK	"locality,political"
31	APPROXIMATE	"Gundagai NSW 2722, Australia"	ChIJcWQUtak-GGsRsOlDkLQJBgQ	Gundagai Australia	-35.0566492	148.102061	1	2722	OK	"locality,political"
32	APPROXIMATE	"Gunnedah NSW 2380, Australia"	ChIJY1cCpRsNCmsRMMBDkLQJBgQ	Gunnedah Australia	-30.9922968	150.2368919	1	2380	OK	"locality,political"
33	APPROXIMATE	"Hay NSW 2711, Australia"	ChIJEe8ZJcl-4GoR4CREkLQJBgU	Hay Australia	-34.5	144.85	1	2711	OK	"locality,political"
34	APPROXIMATE	"Inverell NSW 2360, Australia"	ChIJH050xEL3oWsRULFDkLQJBgQ	Inverell Australia	-29.7627514	151.1102815	1	2360	OK	"locality,political"
35	APPROXIMATE	"Junee NSW 2663, Australia"	ChIJRcot7av3GGsRkOpDkLQJBgQ	Junee Australia	-34.8651781	147.5805276	1	2663	OK	"locality,political"
36	APPROXIMATE	"Katoomba NSW 2780, Australia"	ChIJrf08OilsEmsR4NQyFmh9AQU	Katoomba Australia	-33.7125	150.311944	1	2780	OK	"locality,political"
37	APPROXIMATE	"Kempsey NSW 2440, Australia"	ChIJOYFX0BPfnWsR8C1EkLQJBgU	Kempsey Australia	-31.0604769	152.8481977	1	2440	OK	"locality,political"
38	APPROXIMATE	"Kiama NSW 2533, Australia"	ChIJ37AzodFtE2sR0OMyFmh9AQU	Kiama Australia	-34.6738221	150.8443706	1	2533	OK	"locality,political"
39	APPROXIMATE	"Kurri Kurri NSW 2327, Australia"	ChIJz0827cU3c2sRMO8yFmh9AQU	Kurri Kurri Australia	-32.816667	151.483333	1	2327	OK	"locality,political"
40	APPROXIMATE	"Lake Cargelligo NSW 2672, Australia"	ChIJMVeF0ZNHHGsRsMxDkLQJBgQ	Lake Cargelligo Australia	-33.2981888	146.3729266	1	2672	OK	"locality,political"
41	APPROXIMATE	"Lismore NSW 2480, Australia"	ChIJC-4Phg-ekGsRYCtEkLQJBgU	Lismore Australia	-28.8093154	153.2882876	1	2480	OK	"locality,political"
42	APPROXIMATE	"Lithgow NSW 2790, Australia"	ChIJQcunL1sKEmsRoCFEkLQJBgU	Lithgow Australia	-33.4827345	150.1570173	1	2790	OK	"colloquial_area,locality,political"
